Building,Room,Type
ALH,00101,Circulation Area
ALH,00102,Circulation Area
ALH,00103,Circulation Area
ALH,00105,Meeting Room
ALH,00106,Meeting Room Service
ALH,00108,Meeting Room
ALH,00110,Meeting Room Service
ALH,00111,Circulation Area
ALH,00113,Meeting Room
ALH,00114,Meeting Room Service
ALH,00115,Circulation Area
ALH,00116,Mens Public Restroom
ALH,00117,Womens Public Restroom
ALH,00119,Circulation Area
ALH,00120,Meeting Room Service
ALH,00200,Circulation Area
ALH,00206,Stairway
ALH,00207,Circulation Area
ALH,00215,Unisex Restroom
ALH,00202,Office
ALH,00210,Office
ALH,00201,Office
ALH,00208,Office
ALH,00211,Office
ALH,211.01,Office
ALH,00104,Office
ALH,00118,Office Service
ALH,00121,Office Service
ALH,00122,Circulation Area
ALH,00203,Office
ALH,00209,Office Service
ALH,00212,Office
ALH,00213,Circulation Area
ALH,00214,Office Service
ALH,201.01,Office
ALH,203.01,Office
ALH,208.01,Office
ARC,00110,Mens Public Restroom
ARC,00111,Womens Public Restroom
ARC,00112A,Lobby
ARC,00112B,Lobby
ARC,00113,Classroom Service
ARC,00131,Mens Public Restroom
ARC,00132,Womens Public Restroom
ARC,00144,Special Class Lab Service
ARC,00146,Public Corridor
ARC,00147,Womens Public Restroom
ARC,00148,Mens Public Restroom
ARC,00156,Special Class Lab Service
ARC,00162,Public Corridor
ARC,00163,Womens Public Restroom
ARC,00165,Mens Public Restroom
ARC,00171,Lobby
ARC,00172,Public Corridor
ARC,00128,Special Class Lab
ARC,00159,Individual Study Lab Srv
ARC,00160,Individual Study Lab Srv
ARC,00103,Special Class Lab Service
ARC,00107,Office
ARC,00115,Office
ARC,00116,Office
ARC,00117,Office
ARC,00118,Special Class Lab Service
ARC,00120,Office
ARC,00121,Office Service
ARC,00127,Office
ARC,00129,Special Class Lab Service
ARC,00134,Special Class Lab Service
ARC,00135,Office
ARC,00136,Public Corridor
ARC,00138,Office
ARC,00140,Office
ARC,00124,Office Service
ARC,00101,Special Class Lab
ARC,00102,Office
ARC,00106,Special Class Lab Service
ARC,00108,Special Class Lab
ARC,00109,Exhibition
ARC,00122,Office
ARC,00123,Conference Room
ARC,00126,Special Class Lab
ARC,00133,Special Class Lab
ARC,00137,Special Class Lab
ARC,00139,Special Class Lab
ARC,00142,Lounge
ARC,00143,Special Class Lab
ARC,00161,Office
ARC,00153,Special Class Lab
ARC,00154,Special Class Lab Service
ARC,00158,Individual Study Lab
ARC,00112,Classroom
ARC,00166,Individual Study Lab
ARC,00167,Individual Study Lab Srv
ARC,00168,Special Class Lab Service
ARC,00169,Office
ARC,00170,Special Class Lab
ARC,00114,Classroom
ARC,00141,Special Class Lab
BEP,00100,Lobby
BEP,00101,Public Corridor
BEP,00108,Public Corridor
BEP,00110,Womens Public Restroom
BEP,00111,Mens Public Restroom
BEP,00112,Merchandising
